,rawName,newName
0,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011000110110111011100,<23_1110>_0
1,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011000110110111011101,<23_1110>_1
2,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011000110110111011110,<23_1110>_2
3,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011000110110111011111,<23_1110>_3
4,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110101011010,<23_1110>_4
5,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110101011011,<23_1110>_5
6,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110110110000,<23_1110>_6
7,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110110110001,<23_1110>_7
8,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110110110010,<23_1110>_8
9,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110110110011,<23_1110>_9
10,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111100001111100010001100101101010111001100000000011001011101110110110111010,<23_1110>_10
11,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010001010,<23_1110>_11
12,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010001011,<23_1110>_12
13,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010001100,<23_1110>_13
14,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010001101,<23_1110>_14
15,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010001110,<23_1110>_15
16,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010001111,<23_1110>_16
17,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010100000,<23_1110>_17
18,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010100001,<23_1110>_18
19,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010110000,<23_1110>_19
20,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010110001,<23_1110>_20
21,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010110010,<23_1110>_21
22,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111001010110011,<23_1110>_22
23,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111100110001010,<23_1110>_23
24,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111100110001011,<23_1110>_24
25,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111100110011000,<23_1110>_25
26,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111100110011001,<23_1110>_26
27,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111100110011010,<23_1110>_27
28,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100010100000100111111100110011011,<23_1110>_28
29,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100011011100001011010011010110110,<23_1110>_29
30,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000000100011001010101100100011011100001011010011010110111,<23_1110>_30
31,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100010000100010001000010100000111000,<23_1110>_31
32,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100010000100010001000010100000111001,<23_1110>_32
33,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100010000100010001000010100000111010,<23_1110>_33
34,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100010000100010001000010100000111011,<23_1110>_34
35,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100010000100010001000010100000111100,<23_1110>_35
36,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100010000100010001000010100000111101,<23_1110>_36
37,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011000100,<23_1110>_37
38,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011000101,<23_1110>_38
39,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011000110,<23_1110>_39
40,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011000111,<23_1110>_40
41,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011011000,<23_1110>_41
42,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011011001,<23_1110>_42
43,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011011100,<23_1110>_43
44,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011011101,<23_1110>_44
45,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011011110,<23_1110>_45
46,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001001011111110011011111,<23_1110>_46
47,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001011110010100111100000,<23_1110>_47
48,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001011110010100111100001,<23_1110>_48
49,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001011110010100111100010,<23_1110>_49
50,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001000111011101111000000100110010000000000111000011001011010001001100110100001110110101000101111011111101010111100110000100110000110100011100011001001001011110010100111100011,<23_1110>_50
51,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100110100,<23_1110>_51
52,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100110101,<23_1110>_52
53,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100110110,<23_1110>_53
54,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100110111,<23_1110>_54
55,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100111100,<23_1110>_55
56,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100111110,<23_1110>_56
57,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001100111111,<23_1110>_57
58,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110000100,<23_1110>_58
59,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110000101,<23_1110>_59
60,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110000110,<23_1110>_60
61,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110000111,<23_1110>_61
62,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110001000,<23_1110>_62
63,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110001001,<23_1110>_63
64,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110001010,<23_1110>_64
65,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101010101101111111001110001011,<23_1110>_65
66,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101011010100010111001011000000,<23_1110>_66
67,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101011010100010111001011000001,<23_1110>_67
68,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101011010100010111001011001010,<23_1110>_68
69,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101011010111100100000110000000,<23_1110>_69
70,<23_1110>1111011110000010000110110011001000011100011000000011110110100000001100100000101110010000100010110000110010101101111001011101000111000010111001100011110100101001010010110111110011100011100100100010111111000110110111100000010011001001010001001100110010010110111010001010100010001011110100010110110101011011000011001010000111101101010110000000000111000110000101010010001001101011010111100100000110000001,<23_1110>_70
